"","X","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","overlap_binary","threeseason","fourseason","Month_factor"
"209",234,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2012,12,"2012-12","Wet","2013 Wet 1",-0.26,-0.42,-0.43,-0.45,-0.01,73,104.75,104.75,1262,321.25,"Cheetah-Lion","Dec",2012,126.070769230769,0,"Wet","Hot Wet",12
"210",235,"Priya2","SaF08_1","Priya","SaF08","Cheetah 4","Lion 13","Cheetah","Lion","Priya-SaF08",0,2013,1,"2013-01","Wet","2013 Wet 1",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"211",236,"Qamar2","SaF08_1","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0,2013,1,"2013-01","Wet","2013 Wet 1",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"212",237,"Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"213",238,"Chloe1","Lea2","Chloe","Lea","Lion 3","Cheetah 3","Lion","Cheetah","Chloe-Lea",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"214",239,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"215",240,"Krystal","Priya2","Krystal","Priya","Lion 7","Cheetah 4","Lion","Cheetah","Krystal-Priya",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"216",241,"Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"217",242,"Krystal","Lea2","Krystal","Lea","Lion 7","Cheetah 3","Lion","Cheetah","Krystal-Lea",0,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan",2013,138.971428571429,0,"Wet","Hot Wet",1
"218",243,"Lea2","Stumpy","Lea","Stumpy","Cheetah 3","Lion 14","Cheetah","Lion","Lea-Stumpy",0,2013,2,"2013-02","Wet","2013 Wet 2",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"219",244,"Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0,2013,2,"2013-02","Wet","2013 Wet 2",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"220",245,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0,2013,2,"2013-02","Wet","2013 Wet 2",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"221",246,"Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0,2013,2,"2013-02","Wet","2013 Wet 3",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"222",247,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,2,"2013-02","Wet","2013 Wet 3",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"223",248,"Krystal","Priya2","Krystal","Priya","Lion 7","Cheetah 4","Lion","Cheetah","Krystal-Priya",0,2013,2,"2013-02","Wet","2013 Wet 3",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"224",249,"Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0,2013,2,"2013-02","Wet","2013 Wet 3",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb",2013,97.4785714285714,0,"Wet","Hot Wet",2
"225",250,"Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0,2013,3,"2013-03","Wet","2013 Wet 3",-0.86,-0.04,-0.55,-0.63,-0.42,9,245.7,350.45,889.7,350.45,"Cheetah-Lion","Mar",2013,94.0271428571429,0,"Wet","Cold Wet",3
"226",251,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0,2013,3,"2013-03","Wet","2013 Wet 3",-0.86,-0.04,-0.55,-0.63,-0.42,9,245.7,350.45,889.7,350.45,"Cheetah-Lion","Mar",2013,94.0271428571429,0,"Wet","Cold Wet",3
"227",252,"Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0,2013,3,"2013-03","Wet","2013 Wet 4",-0.86,-0.04,-0.55,-0.63,-0.42,9,245.7,350.45,889.7,350.45,"Cheetah-Lion","Mar",2013,94.0271428571429,0,"Wet","Cold Wet",3
"228",253,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,3,"2013-03","Wet","2013 Wet 4",-0.86,-0.04,-0.55,-0.63,-0.42,9,245.7,350.45,889.7,350.45,"Cheetah-Lion","Mar",2013,94.0271428571429,0,"Wet","Cold Wet",3
"229",254,"Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.0578756739601093,2013,4,"2013-04","Wet","2013 Wet 4",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr",2013,30.75,1,"Cold Dry","Cold Wet",4
"230",255,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0,2013,4,"2013-04","Wet","2013 Wet 4",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr",2013,30.75,0,"Cold Dry","Cold Wet",4
"231",256,"Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0,2013,4,"2013-04","Wet","2013 Wet 5",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr",2013,30.75,0,"Cold Dry","Cold Wet",4
"232",257,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,4,"2013-04","Wet","2013 Wet 5",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr",2013,30.75,0,"Cold Dry","Cold Wet",4
"233",258,"Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0,2013,5,"2013-05","Wet","2013 Wet 5",1.03,-0.97,-0.5,-0.65,-0.65,0,8.99999999999999,318.7,861.45,350.45,"Cheetah-Lion","May",2013,0,0,"Cold Dry","Cold Wet",5
"234",259,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.0503688505801082,2013,5,"2013-05","Wet","2013 Wet 5",1.03,-0.97,-0.5,-0.65,-0.65,0,8.99999999999999,318.7,861.45,350.45,"Cheetah-Lion","May",2013,0,1,"Cold Dry","Cold Wet",5
"235",260,"Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"236",261,"Adiga1","Qamar2","Adiga","Qamar","Dog 2","Cheetah 5","Dog","Cheetah","Adiga-Qamar",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Cheetah-Dog","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"237",262,"Adiga1","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"238",263,"Augustus","Chloe1","Augustus","Chloe","Dog 4","Lion 3","Dog","Lion","Augustus-Chloe",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"239",264,"Augustus","Qamar2","Augustus","Qamar","Dog 4","Cheetah 5","Dog","Cheetah","Augustus-Qamar",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Cheetah-Dog","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"240",265,"Augustus","Stumpy","Augustus","Stumpy","Dog 4","Lion 14","Dog","Lion","Augustus-Stumpy",0,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug",2013,0,0,"Hot Dry","Cold Dry",8
"241",266,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,6,"2013-06","Dry","2013 Dry 1",1.17,-0.6,-0.14,-0.66,-0.65,0,-1.06581410364015e-14,245.7,861.45,350.45,"Cheetah-Lion","Jun",2013,6.53571428571429,0,"Cold Dry","Cold Dry",6
"242",267,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.0402313334007784,2013,6,"2013-06","Dry","2013 Dry 1",1.17,-0.6,-0.14,-0.66,-0.65,0,-1.06581410364015e-14,245.7,861.45,350.45,"Cheetah-Lion","Jun",2013,6.53571428571429,1,"Cold Dry","Cold Dry",6
"243",268,"Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0.0360366934862736,2013,9,"2013-09","Dry","2013 Dry 2",0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,"Dog-Lion","Sep",2013,0.625,1,"Hot Dry","Hot Dry",9
"244",269,"Adiga1","Qamar2","Adiga","Qamar","Dog 2","Cheetah 5","Dog","Cheetah","Adiga-Qamar",0,2013,9,"2013-09","Dry","2013 Dry 2",0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,"Cheetah-Dog","Sep",2013,0.625,0,"Hot Dry","Hot Dry",9
"245",270,"Adiga1","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0,2013,9,"2013-09","Dry","2013 Dry 2",0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,"Dog-Lion","Sep",2013,0.625,0,"Hot Dry","Hot Dry",9
"246",271,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2013,7,"2013-07","Dry","2013 Dry 2",0,0.7,-1.19,-0.66,-0.66,0,-1.06581410364015e-14,26.7,861.45,350.45,"Cheetah-Lion","Jul",2013,0,0,"Cold Dry","Cold Dry",7
"247",272,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.145867229318814,2013,7,"2013-07","Dry","2013 Dry 2",0,0.7,-1.19,-0.66,-0.66,0,-1.06581410364015e-14,26.7,861.45,350.45,"Cheetah-Lion","Jul",2013,0,1,"Cold Dry","Cold Dry",7
"248",273,"Adiga1","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0,2013,10,"2013-10","Dry","2013 Dry 3",-0.51,-0.59,-0.65,-0.4,-0.66,2,1.99999999999999,1.99999999999999,827.95,345.95,"Dog-Lion","Oct",2013,12.125,0,"Hot Dry","Hot Dry",10
"249",274,"Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0,2013,10,"2013-10","Dry","2013 Dry 3",-0.51,-0.59,-0.65,-0.4,-0.66,2,1.99999999999999,1.99999999999999,827.95,345.95,"Dog-Lion","Oct",2013,12.125,0,"Hot Dry","Hot Dry",10
"250",275,"Adiga1","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0,2013,12,"2013-12","Wet","2014 Wet 1",0.67,0.67,0.66,0.12,-0.22,145.45,228.45,228.45,795.4,474.15,"Dog-Lion","Dec",2013,126.070769230769,0,"Wet","Hot Wet",12
"251",276,"Aztec","Stumpy","Aztec","Stumpy","Dog 5","Lion 14","Dog","Lion","Aztec-Stumpy",0,2014,3,"2014-03","Wet","2014 Wet 1",0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,"Dog-Lion","Mar",2014,94.0271428571429,0,"Wet","Cold Wet",3
"252",277,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.0863406064263543,2014,1,"2014-01","Wet","2014 Wet 1",0.98,1.06,0.98,-0.04,-0.22,233.75,460.2,462.2,951.15,488.9,"Dog-Lion","Jan",2014,138.971428571429,1,"Wet","Hot Wet",1
"253",278,"Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0,2014,1,"2014-01","Wet","2014 Wet 1",0.98,1.06,0.98,-0.04,-0.22,233.75,460.2,462.2,951.15,488.9,"Dog-Lion","Jan",2014,138.971428571429,0,"Wet","Hot Wet",1
"254",279,"Aztec","Stumpy","Aztec","Stumpy","Dog 5","Lion 14","Dog","Lion","Aztec-Stumpy",0,2014,4,"2014-04","Wet","2014 Wet 2",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr",2014,30.75,0,"Cold Dry","Cold Wet",4
"255",280,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0,2014,2,"2014-02","Wet","2014 Wet 2",0.26,0.78,0.77,0.28,0.12,90.75,469.95,552.95,948.4,561.95,"Dog-Lion","Feb",2014,97.4785714285714,0,"Wet","Hot Wet",2
"256",281,"Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0,2014,2,"2014-02","Wet","2014 Wet 2",0.26,0.78,0.77,0.28,0.12,90.75,469.95,552.95,948.4,561.95,"Dog-Lion","Feb",2014,97.4785714285714,0,"Wet","Hot Wet",2
"257",282,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0,2014,3,"2014-03","Wet","2014 Wet 3",0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,"Dog-Lion","Mar",2014,94.0271428571429,0,"Wet","Cold Wet",3
"258",283,"Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0,2014,3,"2014-03","Wet","2014 Wet 3",0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,"Dog-Lion","Mar",2014,94.0271428571429,0,"Wet","Cold Wet",3
"259",284,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0,2014,4,"2014-04","Wet","2014 Wet 4",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr",2014,30.75,0,"Cold Dry","Cold Wet",4
"260",285,"Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.0430315739748994,2014,4,"2014-04","Wet","2014 Wet 4",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr",2014,30.75,1,"Cold Dry","Cold Wet",4
"261",286,"Adiga2","Envy1","Adiga","Envy","Dog 2","Lion 5","Dog","Lion","Adiga-Envy",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"262",287,"Adiga2","SaF08_2","Adiga","SaF08","Dog 2","Lion 13","Dog","Lion","Adiga-SaF08",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"263",288,"Adiga2","SaF03_3","Adiga","SaF03","Dog 2","Lion 10","Dog","Lion","Adiga-SaF03",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"264",289,"Aztec","Envy1","Aztec","Envy","Dog 5","Lion 5","Dog","Lion","Aztec-Envy",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"265",290,"Aztec","SaF03_3","Aztec","SaF03","Dog 5","Lion 10","Dog","Lion","Aztec-SaF03",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"266",291,"Aztec","SaF08_2","Aztec","SaF08","Dog 5","Lion 13","Dog","Lion","Aztec-SaF08",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"267",292,"Bali3","Envy1","Bali","Envy","Dog 6","Lion 5","Dog","Lion","Bali-Envy",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"268",293,"Bali3","SaF08_2","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"269",294,"Bali3","SaF03_3","Bali","SaF03","Dog 6","Lion 10","Dog","Lion","Bali-SaF03",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"270",295,"Envy1","Pula1","Envy","Pula","Lion 5","Dog 22","Lion","Dog","Envy-Pula",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"271",296,"Envy1","Xerxes1","Envy","Xerxes","Lion 5","Dog 28","Lion","Dog","Envy-Xerxes",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"272",297,"Envy1","Lupe","Envy","Lupe","Lion 5","Dog 19","Lion","Dog","Envy-Lupe",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"273",298,"Envy1","Tangiers","Envy","Tangiers","Lion 5","Dog 26","Lion","Dog","Envy-Tangiers",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"274",299,"Lupe","SaF08_2","Lupe","SaF08","Dog 19","Lion 13","Dog","Lion","Lupe-SaF08",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"275",300,"Lupe","SaF03_3","Lupe","SaF03","Dog 19","Lion 10","Dog","Lion","Lupe-SaF03",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"276",301,"Pula1","SaF08_2","Pula","SaF08","Dog 22","Lion 13","Dog","Lion","Pula-SaF08",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"277",302,"Pula1","SaF03_3","Pula","SaF03","Dog 22","Lion 10","Dog","Lion","Pula-SaF03",0,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug",2014,0,0,"Hot Dry","Cold Dry",8
"278",303,"SaF03_3","Tangiers","SaF03","Tangiers","Lion 10","Dog 26","Lion","Dog","SaF03-Tangiers",0,2014,7,"2014-07","Dry","2014 Dry 1",0,0.7,0.55,0.88,0.88,0,0,246.25,1058.9,708.45,"Dog-Lion","Jul",2014,0,0,"Cold Dry","Cold Dry",7
"279",304,"SaF03_3","Xerxes1","SaF03","Xerxes","Lion 10","Dog 28","Lion","Dog","SaF03-Xerxes",0,2014,7,"2014-07","Dry","2014 Dry 1",0,0.7,0.55,0.88,0.88,0,0,246.25,1058.9,708.45,"Dog-Lion","Jul",2014,0,0,"Cold Dry","Cold Dry",7
"280",305,"SaF08_2","Xerxes1","SaF08","Xerxes","Lion 13","Dog 28","Lion","Dog","SaF08-Xerxes",0,2014,7,"2014-07","Dry","2014 Dry 1",0,0.7,0.55,0.88,0.88,0,0,246.25,1058.9,708.45,"Dog-Lion","Jul",2014,0,0,"Cold Dry","Cold Dry",7
"281",306,"SaF08_2","Tangiers","SaF08","Tangiers","Lion 13","Dog 26","Lion","Dog","SaF08-Tangiers",0,2014,7,"2014-07","Dry","2014 Dry 1",0,0.7,0.55,0.88,0.88,0,0,246.25,1058.9,708.45,"Dog-Lion","Jul",2014,0,0,"Cold Dry","Cold Dry",7
"282",307,"Adiga2","SaF03_3","Adiga","SaF03","Dog 2","Lion 10","Dog","Lion","Adiga-SaF03",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"283",308,"Adiga2","Envy1","Adiga","Envy","Dog 2","Lion 5","Dog","Lion","Adiga-Envy",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"284",309,"Adiga2","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"285",310,"Adiga2","SaF08_2","Adiga","SaF08","Dog 2","Lion 13","Dog","Lion","Adiga-SaF08",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"286",311,"Aztec","Envy1","Aztec","Envy","Dog 5","Lion 5","Dog","Lion","Aztec-Envy",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"287",312,"Aztec","SaF03_3","Aztec","SaF03","Dog 5","Lion 10","Dog","Lion","Aztec-SaF03",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"288",313,"Aztec","SaF08_2","Aztec","SaF08","Dog 5","Lion 13","Dog","Lion","Aztec-SaF08",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"289",314,"Aztec","Stumpy","Aztec","Stumpy","Dog 5","Lion 14","Dog","Lion","Aztec-Stumpy",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
"290",315,"Bali3","SaF03_3","Bali","SaF03","Dog 6","Lion 10","Dog","Lion","Bali-SaF03",0,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep",2014,0.625,0,"Hot Dry","Hot Dry",9
