"","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","threeseason","fourseason","Month_factor"
"83","Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.13486909130766,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"84","Doohan","Qamar2","Doohan","Qamar","Lion 4","Cheetah 5","Lion","Cheetah","Doohan-Qamar",0.0593948416006216,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"85","Doohan","MJ","Doohan","MJ","Lion 4","Dog 20","Lion","Dog","Doohan-MJ",0.17569196006377,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"86","Doohan","Ferrari","Doohan","Ferrari","Lion 4","Cheetah 1","Lion","Cheetah","Doohan-Ferrari",0.283070956480294,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"87","Doohan","Lea2","Doohan","Lea","Lion 4","Cheetah 3","Lion","Cheetah","Doohan-Lea",0.230024394430897,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"88","Ferrari","MJ","Ferrari","MJ","Cheetah 1","Dog 20","Cheetah","Dog","Ferrari-MJ",0.056626290863475,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Dog","Jul","2012",0,"Cold Dry","Cold Dry","7"
"89","Ferrari","SaF08_1","Ferrari","SaF08","Cheetah 1","Lion 13","Cheetah","Lion","Ferrari-SaF08",0.407029645788448,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"90","Fredericks","SaF03_1","Fredericks","SaF03","Cheetah 2","Lion 10","Cheetah","Lion","Fredericks-SaF03",0.00618372718371382,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"91","Fredericks","MJ","Fredericks","MJ","Cheetah 2","Dog 20","Cheetah","Dog","Fredericks-MJ",0.0644944633884747,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Dog","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"92","Fredericks","SaF08_1","Fredericks","SaF08","Cheetah 2","Lion 13","Cheetah","Lion","Fredericks-SaF08",0.150724106451783,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"93","Goose1","SaF08_1","Goose","SaF08","Leopard 3","Lion 13","Leopard","Lion","Goose-SaF08",0.00883772704454244,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"94","Goose1","MJ","Goose","MJ","Leopard 3","Dog 20","Leopard","Dog","Goose-MJ",0.0230051285064795,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Dog-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"95","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0563409130413077,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"96","Krystal","MJ","Krystal","MJ","Lion 7","Dog 20","Lion","Dog","Krystal-MJ",0.153187018466792,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Dog-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"97","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.239580393805343,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"98","Krystal","Lea2","Krystal","Lea","Lion 7","Cheetah 3","Lion","Cheetah","Krystal-Lea",0.508526170774682,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"99","Kubu","Qamar2","Kubu","Qamar","Dog 18","Cheetah 5","Dog","Cheetah","Kubu-Qamar",0.136702076347098,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Dog","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"100","Lea2","MJ","Lea","MJ","Cheetah 3","Dog 20","Cheetah","Dog","Lea-MJ",0.34668892578619,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Dog","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"101","Lea2","SaF08_1","Lea","SaF08","Cheetah 3","Lion 13","Cheetah","Lion","Lea-SaF08",0.231033180213921,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"102","Lea2","SaF03_1","Lea","SaF03","Cheetah 3","Lion 10","Cheetah","Lion","Lea-SaF03",0.198598809820989,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"103","MJ","Qamar2","MJ","Qamar","Dog 20","Cheetah 5","Dog","Cheetah","MJ-Qamar",0.296044259543073,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Dog","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"104","MJ","SaF03_1","MJ","SaF03","Dog 20","Lion 10","Dog","Lion","MJ-SaF03",0.285877948869725,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"105","MJ","SaF08_1","MJ","SaF08","Dog 20","Lion 13","Dog","Lion","MJ-SaF08",0.112458615830074,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"106","Qamar2","SaF03_1","Qamar","SaF03","Cheetah 5","Lion 10","Cheetah","Lion","Qamar-SaF03",0.2923326085295,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"107","Qamar2","SaF08_1","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.0490596413721648,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"108","Bongwe1","Qamar2","Bongwe","Qamar","Dog 8","Cheetah 5","Dog","Cheetah","Bongwe-Qamar",0.141057319600834,2012,10,"2012-10","Dry","2012 Dry 3",-0.03,-0.1,-0.2,0.14,0.12,6.5,6.5,6.5,1300.25,482,"Cheetah-Dog","Oct","2012",12.125,"Hot Dry","Hot Dry","10"
"109","Chalak","SaF07","Chalak","SaF07","Leopard 1","Lion 12","Leopard","Lion","Chalak-SaF07",0.0854393692218508,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"110","Chalak","SaF08_1","Chalak","SaF08","Leopard 1","Lion 13","Leopard","Lion","Chalak-SaF08",0.113408902759027,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"111","Chalak","Qamar2","Chalak","Qamar","Leopard 1","Cheetah 5","Leopard","Cheetah","Chalak-Qamar",0.129930889491839,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Leopard","Aug","2012",0,"Hot Dry","Cold Dry","8"
"112","Chalak","Priya2","Chalak","Priya","Leopard 1","Cheetah 4","Leopard","Cheetah","Chalak-Priya",0.0487813678685576,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Leopard","Aug","2012",0,"Hot Dry","Cold Dry","8"
"113","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.225485832419592,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"114","Chalak","Chloe1","Chalak","Chloe","Leopard 1","Lion 3","Leopard","Lion","Chalak-Chloe",0.176867645593871,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"115","Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0.178380847145361,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"116","Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.250086421853466,2012,10,"2012-10","Dry","2012 Dry 3",-0.03,-0.1,-0.2,0.14,0.16,6.5,6.5,6.5,1300.25,482,"Leopard-Lion","Oct","2012",12.125,"Hot Dry","Hot Dry","10"
"117","Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0.051890864555702,2012,10,"2012-10","Dry","2012 Dry 3",-0.03,-0.1,-0.2,0.14,0.16,6.5,6.5,6.5,1300.25,482,"Cheetah-Lion","Oct","2012",12.125,"Hot Dry","Hot Dry","10"
"118","Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0.12644616210756,2012,10,"2012-10","Dry","2012 Dry 3",-0.03,-0.1,-0.2,0.14,0.16,6.5,6.5,6.5,1300.25,482,"Cheetah-Lion","Oct","2012",12.125,"Hot Dry","Hot Dry","10"
"119","Ferrari","SaF07","Ferrari","SaF07","Cheetah 1","Lion 12","Cheetah","Lion","Ferrari-SaF07",0.201893233643863,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"120","Ferrari","SaF08_1","Ferrari","SaF08","Cheetah 1","Lion 13","Cheetah","Lion","Ferrari-SaF08",0.13373331165822,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"121","Ferrari","Goose1","Ferrari","Goose","Cheetah 1","Leopard 3","Cheetah","Leopard","Ferrari-Goose",0.0131510716693772,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Leopard","Aug","2012",0,"Hot Dry","Cold Dry","8"
"122","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0474917981609441,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"123","Goose1","Qamar2","Goose","Qamar","Leopard 3","Cheetah 5","Leopard","Cheetah","Goose-Qamar",0.0719065452845015,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Leopard","Aug","2012",0,"Hot Dry","Cold Dry","8"
"124","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.186637114128559,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"125","Priya2","SaF08_1","Priya","SaF08","Cheetah 4","Lion 13","Cheetah","Lion","Priya-SaF08",0.147868477356509,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"126","Priya2","SaF07","Priya","SaF07","Cheetah 4","Lion 12","Cheetah","Lion","Priya-SaF07",0.195447362239037,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"127","Qamar2","SaF07","Qamar","SaF07","Cheetah 5","Lion 12","Cheetah","Lion","Qamar-SaF07",0.0682035343629508,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"128","Qamar2","SaF03_1","Qamar","SaF03","Cheetah 5","Lion 10","Cheetah","Lion","Qamar-SaF03",0.226097766800799,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"129","Qamar2","SaF08_1","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.138589889356667,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"130","Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0.248007822342779,2012,9,"2012-09","Dry","2012 Dry 4",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Leopard-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"131","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.312081693259493,2012,9,"2012-09","Dry","2012 Dry 4",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Leopard-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"132","Chalak","SaF08_1","Chalak","SaF08","Leopard 1","Lion 13","Leopard","Lion","Chalak-SaF08",0.16056096734039,2012,9,"2012-09","Dry","2012 Dry 4",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Leopard-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"133","Chloe1","Priya2","Chloe","Priya","Lion 3","Cheetah 4","Lion","Cheetah","Chloe-Priya",0.113688889989174,2012,11,"2012-11","Dry","2012 Dry 4",-0.49,-0.55,-0.58,-0.01,0.12,25.25,31.75,31.75,1284.5,450.75,"Cheetah-Lion","Nov","2012",38.3230769230769,"Hot Dry","Hot Dry","11"
"134","Priya2","SaF08_1","Priya","SaF08","Cheetah 4","Lion 13","Cheetah","Lion","Priya-SaF08",0.040297116537257,2012,9,"2012-09","Dry","2012 Dry 4",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"135","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.217464597157253,2012,10,"2012-10","Dry","2012 Dry 5",-0.03,-0.1,-0.2,0.14,0.12,6.5,6.5,6.5,1300.25,482,"Cheetah-Lion","Oct","2012",12.125,"Hot Dry","Hot Dry","10"
"136","Priya2","SaF08_1","Priya","SaF08","Cheetah 4","Lion 13","Cheetah","Lion","Priya-SaF08",0.24415485101673,2013,1,"2013-01","Wet","2013 Wet 1",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan","2013",138.971428571429,"Wet","Hot Wet","1"
"137","Qamar2","SaF08_1","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.123826692458299,2013,1,"2013-01","Wet","2013 Wet 1",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan","2013",138.971428571429,"Wet","Hot Wet","1"
"138","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.0477424464075783,2013,1,"2013-01","Wet","2013 Wet 2",0.98,0.32,0.27,-0.04,-0.45,219,317.25,323.75,1083,462.25,"Cheetah-Lion","Jan","2013",138.971428571429,"Wet","Hot Wet","1"
"139","Lea2","Stumpy","Lea","Stumpy","Cheetah 3","Lion 14","Cheetah","Lion","Lea-Stumpy",0.215832333751177,2013,2,"2013-02","Wet","2013 Wet 2",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb","2013",97.4785714285714,"Wet","Hot Wet","2"
"140","Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.055125487862162,2013,2,"2013-02","Wet","2013 Wet 2",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb","2013",97.4785714285714,"Wet","Hot Wet","2"
"141","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.158626865921601,2013,2,"2013-02","Wet","2013 Wet 3",-0.93,-0.02,-0.2,-0.42,-0.04,17.7,309.7,341.45,1058.7,386.45,"Cheetah-Lion","Feb","2013",97.4785714285714,"Wet","Hot Wet","2"
"142","Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.271743217716937,2013,3,"2013-03","Wet","2013 Wet 3",-0.86,-0.04,-0.55,-0.63,-0.42,9,245.7,350.45,889.7,350.45,"Cheetah-Lion","Mar","2013",94.0271428571429,"Wet","Cold Wet","3"
"143","Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.26963420844716,2013,4,"2013-04","Wet","2013 Wet 4",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr","2013",30.75,"Cold Dry","Cold Wet","4"
"144","Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.107801450437036,2013,4,"2013-04","Wet","2013 Wet 4",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr","2013",30.75,"Cold Dry","Cold Wet","4"
"145","Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.17437024316478,2013,5,"2013-05","Wet","2013 Wet 5",1.03,-0.97,-0.5,-0.65,-0.65,0,8.99999999999999,318.7,861.45,350.45,"Cheetah-Lion","May","2013",0,"Cold Dry","Cold Wet","5"
"146","Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.323601952975333,2013,5,"2013-05","Wet","2013 Wet 5",1.03,-0.97,-0.5,-0.65,-0.65,0,8.99999999999999,318.7,861.45,350.45,"Cheetah-Lion","May","2013",0,"Cold Dry","Cold Wet","5"
"147","Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0.071714992465652,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug","2013",0,"Hot Dry","Cold Dry","8"
"148","Adiga1","Stumpy","Adiga","Stumpy","Dog 2","Lion 14","Dog","Lion","Adiga-Stumpy",0.00513618628006511,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Dog-Lion","Aug","2013",0,"Hot Dry","Cold Dry","8"
"149","Augustus","Qamar2","Augustus","Qamar","Dog 4","Cheetah 5","Dog","Cheetah","Augustus-Qamar",0.0548354931651962,2013,8,"2013-08","Dry","2013 Dry 1",0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,"Cheetah-Dog","Aug","2013",0,"Hot Dry","Cold Dry","8"
"150","Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.107935028010567,2013,6,"2013-06","Dry","2013 Dry 1",1.17,-0.6,-0.14,-0.66,-0.65,0,-1.06581410364015e-14,245.7,861.45,350.45,"Cheetah-Lion","Jun","2013",6.53571428571429,"Cold Dry","Cold Dry","6"
"151","Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0.232264808469593,2013,9,"2013-09","Dry","2013 Dry 2",0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,"Dog-Lion","Sep","2013",0.625,"Hot Dry","Hot Dry","9"
"152","Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.449390919885143,2013,7,"2013-07","Dry","2013 Dry 2",0,0.7,-1.19,-0.66,-0.66,0,-1.06581410364015e-14,26.7,861.45,350.45,"Cheetah-Lion","Jul","2013",0,"Cold Dry","Cold Dry","7"
"153","Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0.213299421587088,2013,10,"2013-10","Dry","2013 Dry 3",-0.51,-0.59,-0.65,-0.4,-0.66,2,1.99999999999999,1.99999999999999,827.95,345.95,"Dog-Lion","Oct","2013",12.125,"Hot Dry","Hot Dry","10"
"154","Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.33525559545887,2014,1,"2014-01","Wet","2014 Wet 1",0.98,1.06,0.98,-0.04,-0.22,233.75,460.2,462.2,951.15,488.9,"Dog-Lion","Jan","2014",138.971428571429,"Wet","Hot Wet","1"
"155","Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.0509303591024838,2014,1,"2014-01","Wet","2014 Wet 1",0.98,1.06,0.98,-0.04,-0.22,233.75,460.2,462.2,951.15,488.9,"Dog-Lion","Jan","2014",138.971428571429,"Wet","Hot Wet","1"
"156","Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.289234303222443,2014,2,"2014-02","Wet","2014 Wet 2",0.26,0.78,0.77,0.28,0.12,90.75,469.95,552.95,948.4,561.95,"Dog-Lion","Feb","2014",97.4785714285714,"Wet","Hot Wet","2"
"157","Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.0273065942354217,2014,2,"2014-02","Wet","2014 Wet 2",0.26,0.78,0.77,0.28,0.12,90.75,469.95,552.95,948.4,561.95,"Dog-Lion","Feb","2014",97.4785714285714,"Wet","Hot Wet","2"
"158","Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.0355167216267368,2014,3,"2014-03","Wet","2014 Wet 3",0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,"Dog-Lion","Mar","2014",94.0271428571429,"Wet","Cold Wet","3"
"159","Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.0870730312820723,2014,3,"2014-03","Wet","2014 Wet 3",0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,"Dog-Lion","Mar","2014",94.0271428571429,"Wet","Cold Wet","3"
"160","Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.0709247495721119,2014,4,"2014-04","Wet","2014 Wet 4",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr","2014",30.75,"Cold Dry","Cold Wet","4"
"161","Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.209531701093565,2014,4,"2014-04","Wet","2014 Wet 4",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr","2014",30.75,"Cold Dry","Cold Wet","4"
"162","Bali3","Envy1","Bali","Envy","Dog 6","Lion 5","Dog","Lion","Bali-Envy",0.417955052453934,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug","2014",0,"Hot Dry","Cold Dry","8"
"163","Bali3","SaF08_2","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0.123600078798685,2014,8,"2014-08","Dry","2014 Dry 1",0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,"Dog-Lion","Aug","2014",0,"Hot Dry","Cold Dry","8"
"164","SaF03_3","Xerxes1","SaF03","Xerxes","Lion 10","Dog 28","Lion","Dog","SaF03-Xerxes",0.0706430328602411,2014,7,"2014-07","Dry","2014 Dry 1",0,0.7,0.55,0.88,0.88,0,0,246.25,1058.9,708.45,"Dog-Lion","Jul","2014",0,"Cold Dry","Cold Dry","7"
"165","Adiga2","Envy1","Adiga","Envy","Dog 2","Lion 5","Dog","Lion","Adiga-Envy",0.0488661597913744,2014,9,"2014-09","Dry","2014 Dry 2",0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,"Dog-Lion","Sep","2014",0.625,"Hot Dry","Hot Dry","9"
